datetime,training_steps,game_length,game_result,black_elo_rating,white_elo_rating
2023-05-24 21:20:29,76000,9,B+1.0,559.462442663962,528.1987494574839
2023-05-24 21:23:41,77000,17,B+1.0,575.462442663962,544.1987494574839
2023-05-24 21:27:37,78000,17,B+1.0,591.462442663962,560.1987494574839
2023-05-24 21:30:45,79000,39,B+1.0,607.462442663962,576.1987494574839
2023-05-24 21:34:20,80000,25,B+1.0,623.462442663962,592.1987494574839
2023-05-24 21:38:02,81000,21,B+1.0,639.462442663962,608.1987494574839
2023-05-24 21:41:47,82000,9,B+1.0,655.462442663962,624.1987494574839
2023-05-24 21:45:39,83000,13,B+1.0,671.462442663962,640.1987494574839
2023-05-24 21:49:20,84000,13,B+1.0,687.462442663962,656.1987494574839
2023-05-24 21:53:14,85000,19,B+1.0,703.462442663962,672.1987494574839
2023-05-24 21:56:31,86000,17,B+1.0,719.462442663962,688.1987494574839
2023-05-24 22:00:14,87000,21,B+1.0,735.462442663962,704.1987494574839
2023-05-24 22:04:03,88000,26,W+1.0,720.1987494574839,751.462442663962
2023-05-24 22:08:02,89000,28,W+1.0,704.9350562510059,736.1987494574839
2023-05-24 22:11:40,90000,28,W+1.0,689.6713630445279,720.9350562510059
2023-05-24 22:15:29,91000,21,B+1.0,705.6713630445279,674.4076698380499
2023-05-24 22:19:15,92000,19,B+1.0,721.6713630445279,690.4076698380499
2023-05-24 22:22:51,93000,17,B+1.0,737.6713630445279,706.4076698380499
2023-05-24 22:27:10,94000,25,B+1.0,753.6713630445279,722.4076698380499
2023-05-24 22:31:02,95000,34,W+1.0,738.4076698380499,769.6713630445279
2023-05-24 22:34:15,96000,13,B+1.0,754.4076698380499,723.1439766315718
2023-05-24 22:38:41,97000,21,B+1.0,770.4076698380499,739.1439766315718
2023-05-24 22:41:54,98000,36,W+1.0,755.1439766315718,786.4076698380499
2023-05-24 22:45:44,99000,19,B+1.0,771.1439766315718,739.8802834250938
2023-05-24 22:49:50,100000,11,B+1.0,787.1439766315718,755.8802834250938
2023-05-24 22:53:30,101000,13,B+1.0,803.1439766315718,771.8802834250938
2023-05-24 22:57:09,102000,15,B+1.0,819.1439766315718,787.8802834250938
2023-05-24 23:00:55,103000,17,B+1.0,835.1439766315718,803.8802834250938
2023-05-24 23:05:16,104000,29,B+1.0,851.1439766315718,819.8802834250938
2023-05-24 23:09:07,105000,29,B+1.0,867.1439766315718,835.8802834250938
2023-05-24 23:12:47,106000,17,B+1.0,883.1439766315718,851.8802834250938
2023-05-24 23:16:34,107000,23,B+1.0,899.1439766315718,867.8802834250938
2023-05-24 23:20:33,108000,23,B+1.0,915.1439766315718,883.8802834250938
2023-05-24 23:23:43,109000,15,B+1.0,931.1439766315718,899.8802834250938
2023-05-24 23:27:54,110000,15,B+1.0,947.1439766315718,915.8802834250938
2023-05-24 23:31:45,111000,17,B+1.0,963.1439766315718,931.8802834250938
2023-05-24 23:35:25,112000,29,B+1.0,979.1439766315718,947.8802834250938
2023-05-24 23:39:18,113000,31,B+1.0,995.1439766315718,963.8802834250938
2023-05-24 23:43:09,114000,17,B+1.0,1011.1439766315718,979.8802834250938
2023-05-24 23:47:00,115000,29,B+1.0,1027.1439766315718,995.8802834250938
2023-05-24 23:50:49,116000,41,B+1.0,1043.1439766315718,1011.8802834250938
2023-05-24 23:54:40,117000,29,B+1.0,1059.1439766315718,1027.880283425094
2023-05-24 23:57:52,118000,25,B+1.0,1075.1439766315718,1043.880283425094
2023-05-25 00:02:10,119000,21,B+1.0,1091.1439766315718,1059.880283425094
2023-05-25 00:05:30,120000,25,B+1.0,1107.1439766315718,1075.880283425094
2023-05-25 00:09:16,121000,25,B+1.0,1123.1439766315718,1091.880283425094
2023-05-25 00:13:05,122000,22,W+1.0,1107.880283425094,1139.1439766315718
2023-05-25 00:16:55,123000,27,B+1.0,1123.880283425094,1092.616590218616
2023-05-25 00:20:46,124000,23,B+1.0,1139.880283425094,1108.616590218616
2023-05-25 00:24:35,125000,24,W+1.0,1124.616590218616,1155.880283425094
2023-05-25 00:28:17,126000,23,B+1.0,1140.616590218616,1109.352897012138
2023-05-25 00:32:14,127000,15,B+1.0,1156.616590218616,1125.352897012138
2023-05-25 00:35:26,128000,23,B+1.0,1172.616590218616,1141.352897012138
2023-05-25 00:39:13,129000,19,B+1.0,1188.616590218616,1157.352897012138
2023-05-25 00:43:00,130000,11,B+1.0,1204.616590218616,1173.352897012138
2023-05-25 00:46:39,131000,18,W+1.0,1189.352897012138,1220.616590218616
2023-05-25 00:50:16,132000,11,B+1.0,1205.352897012138,1174.0892038056602
2023-05-25 00:53:53,133000,11,B+1.0,1221.352897012138,1190.0892038056602
2023-05-25 00:58:18,134000,11,B+1.0,1237.352897012138,1206.0892038056602
2023-05-25 01:01:29,135000,15,B+1.0,1253.352897012138,1222.0892038056602
2023-05-25 01:05:07,136000,64,W+1.0,1238.0892038056602,1269.352897012138
2023-05-25 01:09:18,137000,11,B+1.0,1254.0892038056602,1222.8255105991825
2023-05-25 01:12:59,138000,16,W+1.0,1238.8255105991825,1270.0892038056602
2023-05-25 01:16:39,139000,35,B+1.0,1254.8255105991825,1223.5618173927044
2023-05-25 01:20:32,140000,15,B+1.0,1270.8255105991825,1239.5618173927044
2023-05-25 01:23:42,141000,29,B+1.0,1286.8255105991825,1255.5618173927044
2023-05-25 01:27:29,142000,15,B+1.0,1302.8255105991825,1271.5618173927044
2023-05-25 01:31:19,143000,15,B+1.0,1318.8255105991825,1287.5618173927044
2023-05-25 01:35:02,144000,19,B+1.0,1334.8255105991825,1303.5618173927044
2023-05-25 01:38:46,145000,19,B+1.0,1350.8255105991825,1319.5618173927044
2023-05-25 01:42:34,146000,15,B+1.0,1366.8255105991825,1335.5618173927044
2023-05-25 01:46:17,147000,25,B+1.0,1382.8255105991825,1351.5618173927044
2023-05-25 01:50:07,148000,23,B+1.0,1398.8255105991825,1367.5618173927044
2023-05-25 01:54:00,149000,21,B+1.0,1414.8255105991825,1383.5618173927044
2023-05-25 01:57:10,150000,25,B+1.0,1430.8255105991825,1399.5618173927044
2023-05-25 02:00:50,151000,23,B+1.0,1446.8255105991825,1415.5618173927044
2023-05-25 02:04:29,152000,15,B+1.0,1462.8255105991825,1431.5618173927044
2023-05-25 02:08:38,153000,29,B+1.0,1478.8255105991825,1447.5618173927044
2023-05-25 02:12:24,154000,13,B+1.0,1494.8255105991825,1463.5618173927044
2023-05-25 02:16:13,155000,43,B+1.0,1510.8255105991825,1479.5618173927044
2023-05-25 02:19:53,156000,15,B+1.0,1526.8255105991825,1495.5618173927044
2023-05-25 02:23:54,157000,27,B+1.0,1542.8255105991825,1511.5618173927044
2023-05-25 02:27:04,158000,27,B+1.0,1558.8255105991825,1527.5618173927044
2023-05-25 02:30:53,159000,43,B+1.0,1574.8255105991825,1543.5618173927044
2023-05-25 02:34:33,160000,15,B+1.0,1590.8255105991825,1559.5618173927044
2023-05-25 02:38:34,161000,27,B+1.0,1606.8255105991825,1575.5618173927044
2023-05-25 02:42:14,162000,15,B+1.0,1622.8255105991825,1591.5618173927044
2023-05-25 02:45:54,163000,15,B+1.0,1638.8255105991825,1607.5618173927044
2023-05-25 02:49:33,164000,15,B+1.0,1654.8255105991825,1623.5618173927044
2023-05-25 02:53:20,165000,27,B+1.0,1670.8255105991825,1639.5618173927044
2023-05-25 02:57:16,166000,23,B+1.0,1686.8255105991825,1655.5618173927044
2023-05-25 03:00:33,167000,45,B+1.0,1702.8255105991825,1671.5618173927044
2023-05-25 03:04:14,168000,25,B+1.0,1718.8255105991825,1687.5618173927044
2023-05-25 03:08:17,169000,17,B+1.0,1734.8255105991825,1703.5618173927044
2023-05-25 03:12:14,170000,37,B+1.0,1750.8255105991825,1719.5618173927044
2023-05-25 03:15:38,171000,35,B+1.0,1766.8255105991825,1735.5618173927044
