timestamp,train_steps,checkpoint,loss,learning_rate
2023-02-13 17:50:50,100000,checkpoints/gomoku_small_v2/train_steps_100000,2.7988266944885254,0.001
2023-02-13 18:22:30,101000,checkpoints/gomoku_small_v2/train_steps_101000,2.7370290756225586,0.001
2023-02-13 18:54:08,102000,checkpoints/gomoku_small_v2/train_steps_102000,2.5497915744781494,0.001
2023-02-13 19:25:51,103000,checkpoints/gomoku_small_v2/train_steps_103000,2.8846795558929443,0.001
2023-02-13 19:57:37,104000,checkpoints/gomoku_small_v2/train_steps_104000,2.767256259918213,0.001
2023-02-13 20:29:17,105000,checkpoints/gomoku_small_v2/train_steps_105000,2.8434407711029053,0.001
2023-02-13 21:01:14,106000,checkpoints/gomoku_small_v2/train_steps_106000,2.917696475982666,0.001
2023-02-13 21:33:00,107000,checkpoints/gomoku_small_v2/train_steps_107000,2.857250452041626,0.001
2023-02-13 22:05:23,108000,checkpoints/gomoku_small_v2/train_steps_108000,2.771860361099243,0.001
2023-02-13 22:37:12,109000,checkpoints/gomoku_small_v2/train_steps_109000,2.784554958343506,0.001
2023-02-13 23:08:56,110000,checkpoints/gomoku_small_v2/train_steps_110000,2.7776670455932617,0.001
2023-02-13 23:40:34,111000,checkpoints/gomoku_small_v2/train_steps_111000,2.7879557609558105,0.001
2023-02-14 00:12:23,112000,checkpoints/gomoku_small_v2/train_steps_112000,2.7462446689605713,0.001
2023-02-14 00:44:07,113000,checkpoints/gomoku_small_v2/train_steps_113000,2.6702404022216797,0.001
2023-02-14 01:15:52,114000,checkpoints/gomoku_small_v2/train_steps_114000,2.8868138790130615,0.001
2023-02-14 01:47:37,115000,checkpoints/gomoku_small_v2/train_steps_115000,2.834573745727539,0.001
2023-02-14 02:19:20,116000,checkpoints/gomoku_small_v2/train_steps_116000,2.8897972106933594,0.001
2023-02-14 02:50:59,117000,checkpoints/gomoku_small_v2/train_steps_117000,2.721552848815918,0.001
2023-02-14 03:22:49,118000,checkpoints/gomoku_small_v2/train_steps_118000,2.602912425994873,0.001
2023-02-14 03:54:36,119000,checkpoints/gomoku_small_v2/train_steps_119000,2.7758066654205322,0.001
2023-02-14 04:26:18,120000,checkpoints/gomoku_small_v2/train_steps_120000,2.848615884780884,0.001
2023-02-14 04:58:04,121000,checkpoints/gomoku_small_v2/train_steps_121000,2.6987383365631104,0.001
2023-02-14 05:29:46,122000,checkpoints/gomoku_small_v2/train_steps_122000,2.7183337211608887,0.001
2023-02-14 06:01:25,123000,checkpoints/gomoku_small_v2/train_steps_123000,2.8255209922790527,0.001
2023-02-14 06:33:09,124000,checkpoints/gomoku_small_v2/train_steps_124000,2.9672014713287354,0.001
2023-02-14 07:04:59,125000,checkpoints/gomoku_small_v2/train_steps_125000,2.726200580596924,0.001
2023-02-14 07:36:49,126000,checkpoints/gomoku_small_v2/train_steps_126000,2.7730391025543213,0.001
2023-02-14 08:08:46,127000,checkpoints/gomoku_small_v2/train_steps_127000,2.720905303955078,0.001
2023-02-14 08:40:39,128000,checkpoints/gomoku_small_v2/train_steps_128000,2.8051252365112305,0.001
2023-02-14 09:12:28,129000,checkpoints/gomoku_small_v2/train_steps_129000,2.938870429992676,0.001
2023-02-14 09:44:12,130000,checkpoints/gomoku_small_v2/train_steps_130000,2.837864637374878,0.001
2023-02-14 10:16:23,131000,checkpoints/gomoku_small_v2/train_steps_131000,2.90027117729187,0.001
2023-02-14 10:48:23,132000,checkpoints/gomoku_small_v2/train_steps_132000,2.9537994861602783,0.001
2023-02-14 11:20:15,133000,checkpoints/gomoku_small_v2/train_steps_133000,2.7557156085968018,0.001
2023-02-14 11:52:07,134000,checkpoints/gomoku_small_v2/train_steps_134000,2.7429254055023193,0.001
2023-02-14 12:23:55,135000,checkpoints/gomoku_small_v2/train_steps_135000,2.805485248565674,0.001
2023-02-14 12:55:42,136000,checkpoints/gomoku_small_v2/train_steps_136000,2.803900718688965,0.001
2023-02-14 13:27:26,137000,checkpoints/gomoku_small_v2/train_steps_137000,2.903214931488037,0.001
2023-02-14 13:59:16,138000,checkpoints/gomoku_small_v2/train_steps_138000,2.8208577632904053,0.001
2023-02-14 14:31:01,139000,checkpoints/gomoku_small_v2/train_steps_139000,2.902726411819458,0.001
2023-02-14 15:02:48,140000,checkpoints/gomoku_small_v2/train_steps_140000,2.9691321849823,0.001
2023-02-14 15:34:27,141000,checkpoints/gomoku_small_v2/train_steps_141000,2.84696102142334,0.001
2023-02-14 16:06:16,142000,checkpoints/gomoku_small_v2/train_steps_142000,2.857299327850342,0.001
2023-02-14 16:38:03,143000,checkpoints/gomoku_small_v2/train_steps_143000,2.765768051147461,0.001
2023-02-14 17:09:53,144000,checkpoints/gomoku_small_v2/train_steps_144000,2.821758508682251,0.001
2023-02-14 17:41:47,145000,checkpoints/gomoku_small_v2/train_steps_145000,2.898242235183716,0.001
2023-02-14 18:13:38,146000,checkpoints/gomoku_small_v2/train_steps_146000,2.876382827758789,0.001
2023-02-14 18:45:29,147000,checkpoints/gomoku_small_v2/train_steps_147000,2.989450454711914,0.001
2023-02-14 19:17:40,148000,checkpoints/gomoku_small_v2/train_steps_148000,2.8445873260498047,0.001
