datetime,training_steps,policy_loss,value_loss,learning_rate,total_games,total_samples
2023-05-30 00:32:23,155800,1.143791675567627,0.37061256170272827,0.001,795000,53504278
2023-05-30 00:32:33,156000,1.0611600875854492,0.3963673710823059,0.001,795000,53504278
2023-05-30 00:43:27,156200,1.137977957725525,0.3991757035255432,0.001,800000,53762566
2023-05-30 00:43:37,156400,1.2219903469085693,0.3560446500778198,0.001,800000,53762566
2023-05-30 00:43:46,156600,1.1545157432556152,0.3533969521522522,0.001,800000,53762566
2023-05-30 00:43:56,156800,1.1149332523345947,0.3600305914878845,0.001,800000,53762566
2023-05-30 00:44:05,157000,1.0685514211654663,0.39598238468170166,0.001,800000,53762566
2023-05-30 00:54:39,157200,1.0947436094284058,0.3890373408794403,0.001,805000,54013516
2023-05-30 00:54:48,157400,1.2608126401901245,0.4125819802284241,0.001,805000,54013516
2023-05-30 00:54:58,157600,1.2009632587432861,0.3845655024051666,0.001,805000,54013516
2023-05-30 00:55:07,157800,1.0717182159423828,0.400063157081604,0.001,805000,54013516
2023-05-30 00:55:17,158000,1.3702661991119385,0.42934009432792664,0.001,805000,54013516
2023-05-30 01:05:52,158200,1.030369520187378,0.3447052240371704,0.001,810000,54265302
2023-05-30 01:06:02,158400,1.145944595336914,0.4328409433364868,0.001,810000,54265302
2023-05-30 01:06:11,158600,1.0239253044128418,0.3440762758255005,0.001,810000,54265302
2023-05-30 01:06:21,158800,1.042048454284668,0.3607802987098694,0.001,810000,54265302
2023-05-30 01:06:30,159000,1.0645451545715332,0.3684437870979309,0.001,810000,54265302
2023-05-30 01:17:14,159200,1.2169064283370972,0.4424959123134613,0.001,815000,54521301
2023-05-30 01:17:23,159400,1.1705025434494019,0.3854765295982361,0.001,815000,54521301
2023-05-30 01:17:33,159600,1.1142984628677368,0.35751521587371826,0.001,815000,54521301
2023-05-30 01:17:42,159800,1.164969563484192,0.3616827130317688,0.001,815000,54521301
2023-05-30 01:17:52,160000,1.0349653959274292,0.3769834041595459,0.001,815000,54521301
2023-05-30 01:28:34,160200,1.078883409500122,0.3460313677787781,0.001,820000,54776845
2023-05-30 01:28:44,160400,1.0739119052886963,0.35926780104637146,0.001,820000,54776845
2023-05-30 01:28:54,160600,1.1609644889831543,0.39427387714385986,0.001,820000,54776845
2023-05-30 01:29:03,160800,1.0099172592163086,0.3418930172920227,0.001,820000,54776845
2023-05-30 01:29:13,161000,1.1263824701309204,0.3771436810493469,0.001,820000,54776845
2023-05-30 01:39:53,161200,1.059687614440918,0.38863739371299744,0.001,825000,55030984
2023-05-30 01:40:02,161400,1.1208670139312744,0.3666233420372009,0.001,825000,55030984
2023-05-30 01:40:12,161600,1.0520906448364258,0.3377109169960022,0.001,825000,55030984
2023-05-30 01:40:21,161800,1.111043930053711,0.36740589141845703,0.001,825000,55030984
2023-05-30 01:40:30,162000,1.0355440378189087,0.372590571641922,0.001,825000,55030984
2023-05-30 01:51:07,162200,1.18172287940979,0.43411684036254883,0.001,830000,55283077
2023-05-30 01:51:16,162400,1.171624779701233,0.3582547903060913,0.001,830000,55283077
2023-05-30 01:51:26,162600,1.155349612236023,0.35637471079826355,0.001,830000,55283077
2023-05-30 01:51:35,162800,1.030186414718628,0.37098580598831177,0.001,830000,55283077
2023-05-30 01:51:45,163000,1.016432762145996,0.3720240592956543,0.001,830000,55283077
2023-05-30 02:02:27,163200,1.0857856273651123,0.33701181411743164,0.001,835000,55537183
2023-05-30 02:02:36,163400,1.0375319719314575,0.36928725242614746,0.001,835000,55537183
2023-05-30 02:02:45,163600,1.1761009693145752,0.3921177387237549,0.001,835000,55537183
2023-05-30 02:02:55,163800,1.1755988597869873,0.3919801115989685,0.001,835000,55537183
2023-05-30 02:03:05,164000,1.2027506828308105,0.36794358491897583,0.001,835000,55537183
2023-05-30 02:13:47,164200,1.1208069324493408,0.3469024896621704,0.001,840000,55792379
2023-05-30 02:13:57,164400,1.104219675064087,0.38273516297340393,0.001,840000,55792379
2023-05-30 02:14:07,164600,1.183594822883606,0.39625686407089233,0.001,840000,55792379
2023-05-30 02:14:16,164800,1.1209006309509277,0.35971537232398987,0.001,840000,55792379
2023-05-30 02:14:26,165000,1.1506192684173584,0.3114306926727295,0.001,840000,55792379
2023-05-30 02:24:53,165200,1.0759804248809814,0.360346257686615,0.001,845000,56041455
2023-05-30 02:25:03,165400,1.1438331604003906,0.37712234258651733,0.001,845000,56041455
